id,titre,volume
1,"Lainii monumenta; epistolae et acta patris Jacobi Lainii",III
2,"Lainii monumenta; epistolae et acta patris Jacobi Lainii",IV
3,"Lainii monumenta; epistolae et acta patris Jacobi Lainii",V
4,"Lainii monumenta; epistolae et acta patris Jacobi Lainii",VI
5,"Lainii monumenta; epistolae et acta patris Jacobi Lainii",VII
6,"Lainii monumenta; epistolae et acta patris Jacobi Lainii",VIII
7,"Sanctus Franciscus Borgia quartus Gandiae dux et Societatis Iesu praepositus generalis tertius",III
8,"Epistolae PP. Paschasii BroÃ«ti, Claudii Jaji, Joannis Codurii et Simonis Rodericii, Societatis Iesu ex autographis vel originialibus exemplis potissimum depromptae",
9,"Epistolae P. Alphonsi Salmeronis, Societatis Jesu",I
10,"Patris Petri de Ribadeneirs, Societatis Jesu sacerdotis, Confessiones, epistolae aliaque scripta inedita, ex autographia, antiquissimis apographis et regestis deprompta",I
11,"Epistolae P. Hieronumi Nadal Societatis Jesu, ab anno 1546 ad 1577. Tomus primus (1546-1562)",I
12,"Epistolae P. Hieronumi Nadal Societatis Jesu, ab anno 1546 ad 1577. Tomus secundus (1562-1565)",II